source_video_id,title,channel,niche,first_used_date,projects,notes
KxoKCNCLOss,"Asking 90 Year Old Billionaires If Getting Rich Was Worth It",School of Hard Knocks,finance,2026-07-10,hardknocks,"hardknocks_v1 lawnmower, Contiguous VO, dHDpDXSIAkA"
tP4MGcJ80Y0,"The capability curve",Claude (Anthropic official channel),ai-education,2026-07-10,aiwork,"aiwork_v1 (superseded) + aiwork_v2 Multi-Clip Mashup, Mw7jeR6R6iE"
AGBrXy-2SxI,"Bi quyet song tho cua ong ba xua (livestream)",Bac si Hai,health,2026-07-10,bacsihai,"bacsihai_v5, not yet uploaded at time of writing"
tsDZZNcUEHs,"Vitamin D - Hormone Quan Trong Ma Rat Nhieu Nguoi Dang Thieu",Bac si Hai,health,2026-07-11,bacsihai,"bacsihai_v6 Multi-Clip Mashup + blur-fill pillarbox + Implied-Comparison hook label, EpTPDrWONS0"
dK5bG5ZE3yI,"Asking Billionaires If Getting Rich Was Worth It",School of Hard Knocks,finance,2026-07-11,hardknocks,"hardknocks_v2, first genuine multi-source Implied-Comparison montage test (docs/research/800m-view-case-study-2026-07-11/REPORT.md)"
npnyOvchXZs,"Asking Billionaires If They Believe In God!",School of Hard Knocks,finance,2026-07-12,hardknocks,"hardknocks_v3, 3rd School of Hard Knocks source (different angle: faith/God vs pure wealth-psychology in v1/v2), Multi-Clip Mashup, neutral/observational tone by explicit user decision (grilling session)"
MTcn9LRJSH0,"Dung Voi So Cholesterol: Day La Chat Co The Khong The Thieu",Bac si Hai,health,2026-07-12,bacsihai,"bacsihai_v7, Multi-Clip Mashup (4 pieces skipping a long stakes-building preamble to pull the 80%-self-made payoff forward), hard-crop + self-authored captions (ADR-0024), no TTS"
Z7aS-7Mw_Wg,"Asking Billionaires What To Invest In!",School of Hard Knocks,finance,2026-07-10,ackman,"ackman_ascii, completed + uploaded (KspJ3qHjtRU, 26% retention), fully retro'd; registry backfill added 2026-07-12 during a cleanup pass (source_videos.csv had never gotten this row) - source footage staged to _trash/ afterward, project fully done"
mWvtOHlZM-I,"Tool, skill, or subagent? Decomposing an agent that outgrew its prompt",Claude (Anthropic official channel),ai-education,2026-07-12,aiwork,"aiwork_v3_prompt_bloat (superseded, missing resolution beat) + aiwork_v4_prompt_bloat (superseded, captions too small/progressive-reveal hook) + aiwork_v5_prompt_bloat (uploaded jNM7dmy-cFE 2026-07-12, hardknocks-style big/highlighted captions + single-shot hook), Multi-Clip Mashup, 2nd official-channel source for this niche (ADR-0026 resolves the ADR-0021 open policy question), audience-fit required dropping ~95% of the 2706s talk (code/CLI/slide-heavy) - only presenter-visible intro (45.5-113.7s) + closing sign-off (2693.3-2698.3s) used"
251hsWgoTPM,"LIVE: The /wayfinder Demo",Matt Pocock (@mattpocockuk),ai-education,2026-07-14,aiwork,"aiwork_v6_ai_misalignment, 3rd source for this niche and 1st non-official-channel source (74.6min livestream, ~99% screen-share/dev-tool jargon per audience-fit constraint), Multi-Clip Mashup, 6 pieces built around one keyword-scanned quote ('misalignment from AI is AI not asking these questions') plus a real AI-asks/Matt-answers demonstration and a fog/finding-the-way metaphor, full-frame intro used for HOOK only"
AATw4YRFSw8,"Asking Wall Street Moguls How They Got Rich!",School of Hard Knocks,finance,2026-07-13,hardknocks,"hardknocks_v4_wall_street_legend, uploaded 3HRpaESmJWY 2026-07-13 11:46 +07. Peter Tuchman (NYSE stockbroker, most famous stockbroker in the world) same-person-callback reveal - Money+Number hook (trades \$0.5-1B stock/day) pivoting into broke-years/wife-died/near-fatal-COVID story, closing on money-buys-freedom-not-happiness wisdom, resilience-first tone by explicit user decision (grilling session)."
g9K6l15bQGc,"Asking Nigerian Billionaires How They Got Rich!",School of Hard Knocks,finance,2026-07-14,hardknocks,"hardknocks_v5, 5th School of Hard Knocks source, real-estate developer segment (21yrs/5000 units/$50M-year Money+Number hook pivoting into 'slept under a bridge' Contrarian-Reveal), Multi-Clip Mashup"
Z1YZxX-fBwQ,"I Quit My Nursing Job For My Laundromat Business – It Brings In $475K/Year",CNBC Make It,finance,2026-07-14,laundromat,"laundromat_v1 Decision-Lock Narrative; $300K acquisition vs $475K revenue/$119K profit/$66K owner pay; Multi-Clip Mashup"
